label,payload,family,payload_type,method,run_id,sample_index,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,keyword_total
attack," AND  =  )  )  uet_alyse  t0 exmex7,1  =  select   (  ra_ndunalyse_nlse fromchr (  (  rSELECTT DISSTECTT DISTINCT  ( t0Ee| grounlhr  (  ISM(  (  _rtadd91' prUT1",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,0,160.0,41.0,4.514043718898489,93.0,7.0,42.0,18.0,0.58125,0.04375,0.2625,0.1125,1.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
attack,"1'   )  procedchr  (  rR * FROM  (  rhesesecedmex.sn row where t0tx bdn 4232, (  SELECT DISTINCT FROM akbdveexx5ctn exp  (  SELECMCT DIIT =  (  (  =  =  (  (  S",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,1,160.0,43.0,4.439848767998587,90.0,7.0,47.0,16.0,0.5625,0.04375,0.29375,0.1,1.0,0.0,0.0,0.0,1.0,3.0,0.0,9.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
attack,"1  =  selecty frihere thosse exthrithsntexme whre 4423 and 44623  (  =  r SELECT SITIM adbatelere exp  (  (  ( frosechr  ( 1  (  10  (  0x5c,0x71  (  )   )  ,ro",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,2,160.0,39.0,4.252122626621212,80.0,18.0,48.0,14.0,0.5,0.1125,0.3,0.0875,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
attack,"1' or extra*  (  0x232' fromzECEy m _rEiCT  (  rand 440  =  112  )  8,1  ( select  ( _zh_rabt_inaddextrISl0xB,x714070,1""  (  0x7678  )  =  bele  (  ros  (  *S30",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,3,160.0,41.0,4.464425867290149,63.0,28.0,46.0,23.0,0.39375,0.175,0.2875,0.14375,2.0,1.0,0.0,0.0,2.0,2.0,0.0,9.0,0.0,4.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
attack,"1t'' ege whedrex5ex45tcdncat  ( *0x5c,1  (  elt  ( 906  ( chfrmmS.ANM ( USEYEAS.AWDxOltectadt_rROM gb_aderx grozrexnanaledresx.sne 4445  (  selere elsele urth_a",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,4,160.0,43.0,4.736122950263304,104.0,14.0,26.0,16.0,0.65,0.0875,0.1625,0.1,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,1'+e_inaddre exp.grgctl_eCextr0 c_inaddertlk_e  (  r_btve  (  roeelecat  (  _rand extractct   ( rocexd rosnd extctvinldalyse  6th_xalencanale  rand rose where ),error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,5,160.0,31.0,4.176458790290366,114.0,3.0,28.0,15.0,0.7125,0.01875,0.175,0.09375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,-46939' andexexlsl_erexinaddr.gexnaddr.gect906%  =  selere 5408  =  )  >  (  )   )  )   or  (  106  (  R086  ( ext_adtrg_inaddr.gert_inadrevalnt_adderxn'  (  ( ,error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,6,160.0,33.0,4.231860302364652,77.0,18.0,40.0,25.0,0.48125,0.1125,0.25,0.15625,2.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0,1.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,"1"" where )   )  ,ISM (  (  r 0x?itrM  (  ( eelect   (  SEROM* orelse||  (  SELECT (D DISTINUS}AWUSWNDblmriNU( ex5tl_izn""e  (  * )  0x6  )   ext  ( 906 concat  (",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,7,160.0,45.0,4.397447753711107,78.0,8.0,49.0,25.0,0.4875,0.05,0.30625,0.15625,0.0,2.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
attack,"1' o'ee_n end roup w where )  ,0x767  )  > amd (  r (  (  (  (  (  (  (  (  0x55  (  * 1044,concat  (  (  _ract   (  6058  FROM go_indarex.sx.sn.seenx.ss inactv",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,8,160.0,38.0,4.129458739959312,63.0,16.0,53.0,28.0,0.39375,0.1,0.33125,0.175,2.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
attack,1  romk  (  * orosss z  (  chactdresse where 4223  )  )  >  ( FROWISSTDIISTINCT gr= = or )  (  =  =   FROM   (  r_0  ( *00xon  (  (  SELECT ASTINCT  ( 1 ASTINCT,error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,9,160.0,42.0,4.180308800041999,76.0,9.0,55.0,20.0,0.475,0.05625,0.34375,0.125,0.0,0.0,0.0,0.0,2.0,4.0,0.0,12.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
attack,"-8n966  ( gros where 45823'  )  0xse exmi where 112  (  FROM   (  SELECT DIIT DSELECT DrROM b'  (  (  SELECT DISTINCT  ( * =  )  procqmdAp9962""   ( or ex41  (  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,10,160.0,46.0,4.480766817736278,76.0,19.0,49.0,16.0,0.475,0.11875,0.30625,0.1,2.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
attack,"1""  (  )  ,0x55  (  SECT DISSCT DISTINCT grgdhxddRT (  )  )  or 580  =  10,1  =  )  ||  ( 0x5  (  SEROMASdAONCT g( and 1 oup by concat  (  0l_inadanantexinaddr.",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,11,160.0,41.0,4.394440751203505,78.0,14.0,48.0,20.0,0.4875,0.0875,0.3,0.125,0.0,1.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
attack,"1""  )  asedxprg_chr gr7SELECT DISTIND DSTLIMIMIldhrdbCT  =  =  432906755706a71,0x5c,1  (  selere _et grosls  _row  (  (  r2e pro_r expl_edeOsx.s e (  (  SELECT ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,12,160.0,42.0,4.688814430067263,87.0,20.0,36.0,17.0,0.54375,0.125,0.225,0.10625,0.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,1' p_itr'lodvhr (  rand uet_addtr exls  (  (  (  (  (  _rE_  (  ESECT DINUSE> LIOMS. ( *  )  6and ro(  (  (  (  (  chr  (  =  SELECTCT DISTINCT  (  (  grt_jadde,error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,13,160.0,40.0,4.062496885505917,76.0,2.0,54.0,28.0,0.475,0.0125,0.3375,0.175,2.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,1'||  (  rSELECTCTDxrCT DISTINCT  (  (  (  r_inadtrosle  (  (  chr  (  (  rSECT bI ROomctdr.wherxt' pl_ietd' k_edv_4d98etderx'  (  E ee  (  rosre elss  ( 906 w ,error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,14,160.0,41.0,4.362209118341862,87.0,7.0,44.0,22.0,0.54375,0.04375,0.275,0.1375,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,",0x71  =  38440,concat  (  (  (  (  r SSELECTF ISTISTINCT ASTIM FROloodur.ssx.sn_rgpl_nd  r extractvactqmY92jaddApjldiSM	e676(  ror  )  r (  (  (  (  (  (  0x76",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,15,160.0,49.0,4.733245266345574,84.0,16.0,41.0,19.0,0.525,0.1,0.25625,0.11875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,"1  )  6823,1  (  select  (  (  (  _robreexe ext_bdandre 584c,  (  (  SELECT (ISMECT DISTINCT ( P6e58,  (  ROWNUMxL_UMl_addresx.elect   (  (  r (  (  (  SELECT D",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,16,160.0,39.0,4.301363006241838,78.0,12.0,47.0,23.0,0.4875,0.075,0.29375,0.14375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
attack,"1' ante prosle from (  ROWNdyr562""  )   )   )   )  ,11 or row  (  1045,  (  S11928  = 88,1  (  extexmd SELECT DISITECT  FROM by conast  dbe (  chrup_b7ex.ssn_nc",error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,17,160.0,50.0,4.643772679497273,76.0,19.0,47.0,18.0,0.475,0.11875,0.29375,0.1125,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
attack,1%' as and p_ractqvsx`lsnd row and 128  ( ex5 gro  (  =  ( SELECTC ( 1111  (ex.seleri45  (  =  (  (  (  chrrom  (  1117065  ( seselecat  ( * oran exp  (  SrRl_W,error,error,seqgan_improved,seqgan_improved__phase3__error__D__100__V4__raw_character__len160__gpre160__reward_off__seed88,18,160.0,43.0,4.252927868477334,71.0,18.0,49.0,22.0,0.44375,0.1125,0.30625,0.1375,1.0,0.0,0.0,0.0,1.0,2.0,0.0,13.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
