run_key,campaign,method,family,scenario,ratio,variant,execution_profile,status,destination,copy_source,provenance
final_full/baselines|ctgan|boolean|D|R100|BASE,final_full/baselines,ctgan,boolean,D,100,BASE,full,completed,final_full/baselines/ctgan/boolean/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/boolean/D/R100
final_full/baselines|ctgan|boolean|D|R200|BASE,final_full/baselines,ctgan,boolean,D,200,BASE,full,completed,final_full/baselines/ctgan/boolean/D/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/boolean/D/R200
final_full/baselines|ctgan|boolean|D|R500|BASE,final_full/baselines,ctgan,boolean,D,500,BASE,full,completed,final_full/baselines/ctgan/boolean/D/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/boolean/D/R500
final_full/baselines|ctgan|boolean|E|R100|BASE,final_full/baselines,ctgan,boolean,E,100,BASE,full,completed,final_full/baselines/ctgan/boolean/E/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/boolean/E/R100
final_full/baselines|ctgan|boolean|E|R200|BASE,final_full/baselines,ctgan,boolean,E,200,BASE,full,completed,final_full/baselines/ctgan/boolean/E/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/boolean/E/R200
final_full/baselines|ctgan|boolean|E|R500|BASE,final_full/baselines,ctgan,boolean,E,500,BASE,full,completed,final_full/baselines/ctgan/boolean/E/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/boolean/E/R500
final_full/baselines|ctgan|error|B|R100|BASE,final_full/baselines,ctgan,error,B,100,BASE,full,completed,final_full/baselines/ctgan/error/B/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\error\B\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/error/B/R100
final_full/baselines|ctgan|error|B|R200|BASE,final_full/baselines,ctgan,error,B,200,BASE,full,completed,final_full/baselines/ctgan/error/B/R200/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\error\B\R200\BASE,GAN_SQLi_Colab/result 2/result-20260716T102308Z-1-001/result/final/ctgan/error/B/R200
final_full/baselines|ctgan|error|B|R500|BASE,final_full/baselines,ctgan,error,B,500,BASE,full,completed,final_full/baselines/ctgan/error/B/R500/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\error\B\R500\BASE,GAN_SQLi_Colab/result 2/result-20260716T102317Z-1-001/result/final/ctgan/error/B/R500
final_full/baselines|ctgan|error|D|R100|BASE,final_full/baselines,ctgan,error,D,100,BASE,full,completed,final_full/baselines/ctgan/error/D/R100/BASE,H:\My Drive\GAN\final_results_complete\final\ctgan\error\D\R100\BASE,GAN_SQLi_Colab/result 2/result-20260716T102441Z-1-001/result/final/ctgan/error/D/R100
