label,payload,family,payload_type,method,run_id,sample_index
attack,"1%""   ( 106  (  nchrom ore' (  selecnat  ( )  )  )  )  )  =  0x7177671,7,0x7171,  =  )  )  se0xssle  ( 113  select whssect  (  45,,1 713 5,or  (  713 F.N9I  ( s",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,0
attack,"-m 427040756  selen th  (  640  13717362 6,0x56 ad  )  (  )  )  )  ( 5 counacd m  = fre6  )  ( 105040,concat  (  )  (  (  and d5,5067  select )   ( 0x5  ( se  (",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,1
attack,"1'  select  ( 11   )   )  ( 1,0x7170606a71706a71,adresect  (  bys_asyts ROMgotx7171717a767a713 grthe syse  )   (  elt uit ssys whese whedras  (  case selse  ( 1",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,2
attack,-9svaby.7eU drigys.gttx.idddr.orectlecat (  0x3dr  )  ( s.genand  (  sel_nam fr where  42  elsx.F'b AN'   (  )  )  )   (  elt  (  chrp fre exm  ( 4222  )  selec,error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,3
attack,"""rom_zxSWMEC_0Kdadd00ser (  )  )  )  ( 42 c3d06  )  )   (  )  =  ( =  )  )  (  (  )  selenan row Felecat ( sse  )  )   ( ssle  (  (  select   )  (  0x7s5 eroca ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,4
attack,"1%""  (  select  ( 0x506,c  (  =  se|chr (  = ,0x7171,740,w,0x7171,  (  > extrome  )  sele duer (  ( 0x7171706a7067a717e06  (  bynd084  ( 0x7171706  (  selencays",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,5
attack,"1%""  ( 5065,1706a5  (  )  0x74s1706adradr.swhed  (  elt (  selecat )  SELLINCT ore ( )  )  )  )  ( 603706  ,0x71767,0471,0x7176  frasle   elsl.AYy. gtit  ( 1037",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,6
attack,"1x""pselecosadd1717ss_iddre0tedrerom  (  (  )  ( 60x7s77171767a7s71,   )  select  (  s067a5   ( 42  )  )  (  )  ( = 11,6  (  selencaxtx.set e select  (  6chr_isy",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,7
attack,"r.gU~ECTFNCNelkodrflyeslN e  she1   ( ,0x7171767a767a767,0x71767  ( 0x70ssew   )  chor drorfri (  =  113 gorelse  ctx_emselelsecadroutDex717471706a06706  ( 0x, ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,8
attack,"1"" 62706x76a71  or )   selecturithourocor  (  )  )  select  ( 6204735,0x7e7171,  (  )  (  )  )  )  113 =  )  )  (  select  =  selecathrom  )  )   (  SELECT SLIM",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,9
attack,"11,1  ( 4373 on as  (  sexe  selectorwhowt ( )  )be_en ctonan on where  11,  )  (  0x71706a71,fl D ( select  (  91  (  sels.ISTIETIWMMROerATDFROD*  RWNAMLPLEyAL",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,10
attack,"1'78  els   (  =  ( gre,contex7171,  )  ( 6|2727,1,  ( 0secasle_  ( 9173693  )  ) 11,  )  (  )  )  > ( chr exuoeroror 1ore selecttaddr.SEUMIM (  select  ( selec",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,11
attack,"1xouurome wlhelechr  ( 106  ( el b drioraxlect )  ( sele 6addr06  (  62  )  (  drasyse en or expre  )  ( 6235,conca71,cor  (  elltxtherom  ( from  ( 420,1,froun",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,12
attack,"1   =  > (  ( w7767,46  )  ( 50051727067a706al71,   )  )  ( 58406  104s71706a706are0nd or )  elenat  (  =  =  )  )  )  )  )  selose whr.genayse  ( 1231  USLESwD",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,13
attack,"1""  )  )  )  (  )  (  sexect conc  )  (  )  )  (  fraxle|  )  )  (  selechr  (  )  )  ) (   ( 129770629706a717067  ( =  se  (  bxiedseronconad  (   ct orokx_171",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,14
attack,"1"" frorow  )  naen  throp"" )  senanddrexe erow  ( * orc ( sex Aywhen  ( 6 or )  (  )  t35067  = *  ( select   ( ,  (  584231767 32,1   )  (  (  )   )  ( w3  )  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,15
attack,"1'  (  )  (  select  (  sellect_ase wand  s( (  )  )  ( 0x717173  ( select  selt (  0x7171706abn e  ( 684056,f,0x76a71,   )  1 1,con7  (  )  117,6 asl  (  c,0xl",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,16
attack,"-6 sele wher (  ( 0x717171,  ( 58735,cooruprow ( se  (  eltvp  ( 11390071706  ( c*  ( 01,  (  )  ( 0x76l om  (  select  (  )(  selsect  (  gro_ntxid5  ( 4233  c",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,17
attack,"1""  = ,0x7171  (  )  )  )  (  ( 506  )  )  counalyselecenan  ( 113,1  )  *  (  select chr )  (  )  =70  (  )  )  ( 113 ROWNUMLMINCT FROMM =  0x7171706a706abley ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,18
attack,"1  frore  )   ) FRher ( 1055  (  select  )   ( 912  ( > ( 6  syslectan  (  > xiesect  (  )  )  )  )  )  ( *  ( 623706a5  (905d3562  )  )   (  (  6232  2906,1  (",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,19
attack,"|1'  *   thrasZe| whssyse  ( 0x706,ex7re et  (  (1313  select  ( 113  )  )   )  ( 0xddre0sle  ( c1e  ( 4 19767a717600alsecount  ( sel0prow  (  nct annd  )  =  =",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,20
attack,"16   )   (  select (  select  (  ( 5043706a71,7 flu  ( 5840  )  selit|   ( 0x71706a6   )  500670005,casect  (  )  ( fre select  (  = 91,0x71,  ( se exp  ( 006  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,21
attack,"-5@+ ( 0291,  )  (  ""90x7171706a713 uoncaal(  (  concandy froc concalect anddrese  )  )   )   ( 425,4  =913 ( 22123g 4236  (  )  ( elow fre  )  ( 6237045  (  ) ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,22
attack,"1""fr=  ( 045  )  )  )  )  (  ctx7 sectvalor  select eamrow  ( byn0067a71,floor exmloxm_int  (  )  )  )  0x71767,  ( groe_t  (  )  )  )  ( 0x7171706a706as5  )  (",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,23
attack,"UD?{oun  )  )  (  )  0x571706a767a7170671706a71706a71,floorome  ( sexfr1 (  )  (  selC'  (  SELECT DIAET exbCCT SECTECT DISTIMINC  elect and  (   (  select coun",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,24
attack,"1"" )  )  se  (  )  select count chr orby6ca ( ROere  (  elounat  =3  (bnca71   ( ex71,  )  )  ( 05  ( 0x50s7,67  )  )  )   uxp  ( sect  (  (  )  )  68855,1  )  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,25
attack,"3.1,1704767a71,D grow   )   grRydd  ( exor  ( 0x77ssml_illele  )  (  )  )   )  ( 0x5062  12ab3 select  (4  )  )  (randes  ( 12342  ( frole orelihroncat  (  chro",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,26
attack,"1 ororu'e uuowtxys.tesy ( conchmu  )  )  )  (  select ct select whs  (  )  )  || selecnat (  8,0x71,   )   )  ) frocat  (  elyse  (  select when  =  0x717171707",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,27
attack,"1""ordrom__c6aiddr.gen  ( 5045  (5045  ( 456,cex717  (   (  ( case ctvabO.JAECT/ ~LETINCT  ( 0x71706717077671  whsxsen caddr.ge)  )  )  )  (9,06ad gr'uecat_alr w",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,28
attack,"1rororfresl.P(  (  eltle  ( selen  (  )  grost_inadddriMgen wge set e  select  (  )  )  LD =  ( 0x2' genalnt 1 ) ,0x7171706a706006a5  ( 1,E2  )  gr (  )  )  )  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,29
attack,"1""'  ( 0x7171707767concadcRdd0s  (  ( select  (  50,0x7e71,  (  concase ased fron  (  587,cowa71,flodre  ( )  8237  )  grect5,0x71_ed500  ( 1,cat  (  =  (  exp ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,30
attack,"1""  LSEDROMAENCTutlect  ( 406,  ( 248710177471,  )   )  )  select  ent  )  grow  )  )  ( ror (  selencaltent  ( and  (  select  (  = *   ( 0x717sledrolecat  (  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,31
attack,"1'  )  bpand0, frwhe elp ( 0x717171706a746a7171, flow  ( 0x7177171,  (  bsnechre  )  (  )  )  ( 112  bssAt_ient ( w8aSror (  0ser om  )  ) 4  )  )  ( 625  )  ) ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,32
attack,"1"" AOowM  SEoTMLg_sxslhet_k  (  ( select  (  cextre  (  se  ( 0x717171706a774x706a71,  ( 22971,floorant  ( select  (  (  (  sele ct cas  (   (  )  (  un or ( ) ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,33
attack,"1UKN\tihsldule 58  (  )  ) (  )  11   ( wlseron  11,  ( 132  )  )   )   ( 0x717463 90673 wh0  (  )  (  )   ( 6806  ( 1006  ( 645,u76absle  )  proume  selenct,0x",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre160__reward_off__seed88,34
