label,payload,family,payload_type,method,run_id,sample_index,length,num_unique_chars,entropy,alpha_count,digit_count,space_count,punct_count,alpha_ratio,digit_ratio,space_ratio,punct_ratio,single_quote_count,double_quote_count,dash_count,slash_count,star_count,equals_count,semicolon_count,paren_count,percent_count,underscore_count,comma_count,operator_count,has_single_quote,has_double_quote,has_comment_dashdash,has_comment_hash,has_comment_block,has_equal,has_parentheses,has_semicolon,has_percent_encoding,has_hex_literal,has_concat_operator,kw_select,kw_union,kw_where,kw_from,kw_and,kw_or,kw_insert,kw_update,kw_delete,kw_drop,kw_create,kw_alter,kw_sleep,kw_benchmark,kw_waitfor,kw_delay,kw_information_schema,kw_table,kw_column,kw_database,kw_cast,kw_convert,kw_concat,kw_substr,kw_substring,kw_ascii,kw_char,kw_load_file,kw_outfile,kw_exec,keyword_total
attack,"1""lo m   (       (    54     (   S 2  |( c_alect     sy (  0calom     D11   )      chr   60x52  5  (      0x71,    axn723        |xdr.guhit    (      (    add.7",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,0,160.0,35.0,3.153432423305719,37.0,19.0,88.0,16.0,0.23125,0.11875,0.55,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"1'    )        )        (     )        syelect  (  ,  )    1     190   se     (       )       64     )      ,   (       elt   (     812     (     4850,0lt7   ( ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,1,160.0,20.0,2.029046643510486,14.0,16.0,113.0,17.0,0.0875,0.1,0.70625,0.10625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"1'   )         )       (      )       (     62      (     |cect    (     )    9   )        (      0x,  (      (    |||ptva71,  =   (         (       (  (   |cat",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,2,160.0,20.0,1.869999349931055,12.0,7.0,116.0,25.0,0.075,0.04375,0.725,0.15625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"1    (      (     selyso   selet  3     1320x717,   (      )    couout   )     ysy_e4   ct     0x5d   47     (    (  )    1     (   008a    (1_89 7)     00x54  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,3,160.0,25.0,2.842471611129678,28.0,26.0,92.0,14.0,0.175,0.1625,0.575,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"1:drowhe  42,5044    (     (  ,0x7067  (     ,   (    99   (      )       se  (   ul_t_  FI4      |ct     )   >   =     )       80x5    sect     s   )    00x717",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,4,160.0,32.0,2.866113905444167,23.0,23.0,95.0,19.0,0.14375,0.14375,0.59375,0.11875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"Sss(    (     )        (        (     47     1,17,,   (adr   select    _x,  (     ,hu .secat     se  9s )      se|oct, 42   (  =      gr   (    ||ct   )      ( ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,5,160.0,27.0,2.678388094764202,32.0,8.0,96.0,24.0,0.2,0.05,0.6,0.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
attack,"1'   Auaecsx  (    )       0457   x17hre   lo se|ad  om   (  0add4706a407397076717a717,0x717  e,  =   (     (    hre  (     )       100x71   ST>      (        (",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,6,160.0,31.0,3.2676761896914335,32.0,36.0,77.0,15.0,0.2,0.225,0.48125,0.09375,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"ad (    vs  (      (  71         )     (      (     =    905  ch w   (     =       sselect   cond       62       (     se2_l_or   ct  =    0nd8asele  ,    (    ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,7,160.0,27.0,2.4957187339171405,32.0,10.0,103.0,15.0,0.2,0.0625,0.64375,0.09375,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"|durow     I  (       (       (     e     (    0xnd    )    )       (     wlt   0n  (      (     sect_hre   )      0x70, at   secat     )  90,1     0x71706cade9",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,8,160.0,26.0,2.71665655136679,34.0,15.0,96.0,15.0,0.2125,0.09375,0.6,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,"1ErEB~060x{77,  (0x717   =9      )      0x971,    ax9   =      (       )     0x581|7   (         (   )    ,6  (     so   (  =      ,557,   ) ,felet  ,0x71Cflt  ",error,error,seqgan_improved,seqgan_improved__phase3__error__D__200__V4__raw_character__len160__gpre80__reward_off__seed88,9,160.0,27.0,2.968233116217671,22.0,28.0,87.0,23.0,0.1375,0.175,0.54375,0.14375,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
