label,payload,family,payload_type,method,run_id,sample_index
attack,1  5  a8a8a8a8p8 a38,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,0
attack,1  a8a8a8a8a8a88a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,1
attack,1  a8a8a8pa8a8a88a8 ,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,2
attack,1  88a8a8a8 a8pa8ae8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,3
attack,1  a8a88a838a8 a8p8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,4
attack,1  a8a8pa8a8ap8a8 a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,5
attack,1  a8a88a8 a88aa8p8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,6
attack,1   a8a8a8a7a8a8a8jp,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,7
attack,1   a8a8a8a8a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,8
attack,1  8a8a8a8a88pa8a838,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,9
attack,1 8383338 a88a8a8a88,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,10
attack,se_ a88 a8a8a8a8a8pa,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,11
attack,1  a8a8a8a8a88a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,12
attack,'  a888a8a8a888a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,13
attack,1e a8a8a8a8a88pa8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,14
attack,1e 333e a8a8pha8a8 a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,15
attack,1  a8a8a8a8pa8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,16
attack,1   a8a8a88a8a8 a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,17
attack,1  a8a8a8a8  a88a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,18
attack,selea8a8a88a8a8 a8 8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,19
attack,1    a8a8a8a8jpa8p a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,20
attack,1  aa8pa8a8pa8a7a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,21
attack,se8a8pa8a88a8a8pp a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,22
attack,1  88ha8a8a88a8a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,23
attack,seha a8a8a8a8ap8p8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,24
attack,1  8a8a888a88ha8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,25
attack,1  a8a8a8 pa8a8a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,26
attack,seea8a8a8a8a8a8ea8pe,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,27
attack,1  a8a8a88a8a8a88pa8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,28
attack,se7a8ha8a8ppa85a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,29
attack,seea8a8a8ha8a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,30
attack,1 88 a8a8a8a8a8a8a8 ,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,31
attack,1   a8a8aa8pp8ap8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,32
attack,1 88 a8p8 a8a8a8pa8p,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,33
attack,sea8  a8a8 a8a8a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,34
attack,1  a8a8a88a8a8ppa8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,35
attack,1  a8aa8pa8a8pa8pp8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,36
attack,1  a8a8a8a8a8a8a8a8 ,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,37
attack,1  a8ap8a8a8a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,38
attack,1  a8a8p8a8a8a8a a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,39
attack,1  8a8a8a8a8a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,40
attack,1  a8a8a88a8 a8a88p8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,41
attack,1  a8a8a8a8a8a8 a8pa,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,42
attack,1_    a8a8a8pa888a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,43
attack,seea8a8a8a8a3 8a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,44
attack,1 8p a88a8a8pa8a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,45
attack,sec a8ha8a8a8a8a88pp,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,46
attack,1  a8a8a8a8a8a8a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,47
attack,1  a8a8a8a8a8a8a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,48
attack,sele a8a88pa8 a8ha38,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,49
attack,1  a8pa8ha8a8 a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,50
attack,1  8a8a8a8a8p38a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,51
attack,1  a8a8a8a888sap8pe ,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,52
attack,1  a8a8 a8a8a8a7 a85,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,53
attack,1   a8a8a8a8a8 a8a8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,54
attack,1 83838a88a8 8a8a8pa,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,55
attack,see3338a8p8a8a8a8p8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,56
attack,1   a8a8a8a8a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,57
attack,18  a8a88a8 a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,58
attack,1  a8a8a8a8a 8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,59
attack,1   a8a8a8a8a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,60
attack,1  8a8a8pa8a8pa8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,61
attack,1  pa8a8a8a8a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,62
attack,1  38a8a8a8a8 a8pa8a,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,63
attack,1  a8a8a8a8a8 8ha8pa,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,64
attack,1  a8a8a8a8a8a818a88,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,65
attack,1  8a8a88a88a8a8a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,66
attack,se338ea8a8a8 a88a8a8,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,67
attack,1   a8a8a8a8pa8a8a8p,boolean,boolean,seqgan_master,seqgan_master__final__boolean__E__500__MASTER__raw_character__len20__gpre120__reward_off__seed88,68
