id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
GAN_000001,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,3.1250797097623835
GAN_000002,attack,boolean,"-9996' or make_set  (  1237  =  7111,7111  )  ",nearest_attack_euclidean,R000111,2.5498843760977574
GAN_000003,attack,boolean,"-3109"" or elt  (  1032  =  1032,3623  )  ",nearest_attack_euclidean,R000203,2.885453430424559
GAN_000004,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.9136670212071922
GAN_000005,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.743097253695012
GAN_000006,attack,boolean,"1"" and 9468  =  7105--",nearest_attack_euclidean,R000176,3.12870405863991
GAN_000007,attack,boolean,"-3109"" or elt  (  1032  =  1032,3623  )  ",nearest_attack_euclidean,R000203,2.8678937762356593
GAN_000008,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,3.0738505704128993
GAN_000009,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,3.1018406191425334
GAN_000010,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,2.9672636469662073
GAN_000011,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.835172187193428
GAN_000012,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,3.0657653216083496
GAN_000013,attack,boolean,"-9996' or make_set  (  1237  =  7111,7111  )  ",nearest_attack_euclidean,R000111,2.602895470790545
GAN_000014,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,2.749403117492109
GAN_000015,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,2.866083039457377
GAN_000016,attack,boolean,"-9996' or make_set  (  1237  =  7111,7111  )  ",nearest_attack_euclidean,R000111,2.8183151156479043
GAN_000017,attack,boolean,"-3109"" or elt  (  1032  =  1032,3623  )  ",nearest_attack_euclidean,R000203,2.782528405929683
GAN_000018,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,3.0463548064180572
GAN_000019,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.7978066336822436
GAN_000020,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,2.9842889534151915
GAN_000021,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,3.2017488032607857
GAN_000022,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,2.90693481406764
GAN_000023,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.9476168767969178
GAN_000024,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,3.195145239313106
GAN_000025,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,3.2136902370006086
GAN_000026,attack,boolean,"-5355"" or make_set  (  9354  =  9354,7185  )  ",nearest_attack_euclidean,R000220,2.5945335355032983
GAN_000027,attack,boolean,"-9996' or make_set  (  1237  =  7111,7111  )  ",nearest_attack_euclidean,R000111,2.8066159640071664
GAN_000028,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.932052506619632
GAN_000029,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.8113669595175153
GAN_000030,attack,boolean,"-9996' or make_set  (  1237  =  7111,7111  )  ",nearest_attack_euclidean,R000111,2.7468103046397285
GAN_000031,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.7038508762690165
GAN_000032,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.6634939046809865
GAN_000033,attack,boolean,"-3109"" or elt  (  1032  =  1032,3623  )  ",nearest_attack_euclidean,R000203,2.7044167789329325
GAN_000034,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,3.0514564243672297
GAN_000035,attack,boolean,"1"" and 9468  =  7105--",nearest_attack_euclidean,R000176,3.075135417441725
GAN_000036,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,3.0088646650327204
GAN_000037,attack,boolean,1 and   (  1977  =  6852  )  *6852-- clxl,nearest_attack_euclidean,R000233,2.7957862254719066
GAN_000038,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,3.108754344169564
GAN_000039,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.6519594912729847
GAN_000040,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.7406199403119245
GAN_000041,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.83968083993441
GAN_000042,attack,boolean,"-9996' or make_set  (  1237  =  7111,7111  )  ",nearest_attack_euclidean,R000111,2.5696347986554264
GAN_000043,attack,boolean,"-3109"" or elt  (  1032  =  1032,3623  )  ",nearest_attack_euclidean,R000203,2.92810310698822
GAN_000044,attack,boolean,"1"" and 9468  =  7105--",nearest_attack_euclidean,R000176,2.994342790087554
GAN_000045,attack,boolean,"-9996' or make_set  (  1237  =  7111,7111  )  ",nearest_attack_euclidean,R000111,2.80623993604455
GAN_000046,attack,boolean,"1"" and 9468  =  7105--",nearest_attack_euclidean,R000176,3.4338003337040437
GAN_000047,attack,boolean,"1"" and make_set  (  8403  =  8403,8899  )  ",nearest_attack_euclidean,R000110,2.7500560091066815
