label,payload,family,payload_type,method,run_id,sample_index
attack,1'+ or   or *       ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,0
attack,"1""      oooant    s ",boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,1
attack,1 or  or+ or or'    ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,2
attack,1%'  or =    (     s,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,3
attack,-sfb35'   or or   ) ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,4
attack,1'on.c  chr  r sjNdc,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,5
attack,-8938nleouin-483    ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,6
attack,1')   or  se'ctd cha,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,7
attack,1'        and       ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,8
attack,1'+owheNxct  627  an,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,9
attack,-1#%2'       sxbt  (,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,10
attack,1' and 8     or   ) ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,11
attack,'    and or   c  or ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,12
attack,1%'   oos 'oc 2     ,boolean,boolean,seqgan_improved,seqgan_improved__phase3__boolean__E__200__V7__raw_character__len20__gpre80__reward_on__seed88,13
