label,payload,family,payload_type,method,run_id,sample_index
attack,"-86775520%'   )    )    )    ,5076,8095,9565,6255 --",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,0
attack,"-4058q union all 8007 -- 8950,cd5,-- e@VEz8311SR-- ddc2load_filed2r",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,1
attack,"-7078'||  (  select ''   w uon n   select iddwhere union   =  1 or or all select select 2391,4100,3075--",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,2
attack,"-p"" \  )       w   )    n mn  8095 mon where ron moasbann m  =    6915 8095 select select where union 5543sde where select 3967dban bot,---- null-- 8950n u5076d  =-- m 8950,6229,6083-- null3114,957176829321enc9nn where i--ne  rs us where 9128 2617s u where where 7039  =  1858  (3=  2617 union all all 3733 7039",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,3
attack,-5520%' b  )   union select lall---- 1-- --,union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,4
attack,"-2643' union all union all $-- union where+8095 + whereid  =  = all select 3075 -- 7336,7039,1858,4011,!8147,4011--",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,5
attack," us ddbo,7682,8147,4394--",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,6
attack,"-7637"" * where select 6229  =  where -- 3432 rsRe  =   3733iodersimdq  id  (     =  m d  =  =  (n  us   =  =  1 ms baunion )    *r where 8417 where where where all where 3114  =  =  =  (  union 8095 where where ig 3733  =  5543  =  = where 2256.v$baaean select das where $9321asaa,bchare",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,7
attack,"-?' union all all select 2489,6630---- @,5367,4100-- --",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,8
attack,"  =   union 8095 us where 6630riorwoid4884nc55252geas' idduas 0t1,2256,4394----",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,9
attack,"-'||  (  select '""nm  )od' 8498,3560a3303#--",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,10
attack,"-2314'||  (  select 'aioleaa' where id  =  information_schema9584   = where 7336  =  =  = union all where where 5543,9584-- select 4011,,4011,7141,9571,9321,6346,6083--",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,11
attack,"-4711' union all all v 9571R  rs mooasn     =  8417   = all iuod6196ers whereefrom  =  8095 where all -- 8095nn all boeas ciw    banymp5367dcan xy   antm-- where idr,8007,8950,E4011",union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,12
attack,  1858 % bas' boo052dbal dak,union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,13
attack,-3009>1876f2528222045,union,union,seqgan_improved,seqgan_improved__phase3__union__F__200__V8__sql_aware__len160__gpre80__reward_on__seed88,14
